Gm#,Date,Tm,Location,Opp,W/L,Rank,Win,Loss,Save
32,2021-05-03,BOS,Home,DET,W,1,Andriese,Lange,Ottavino
33,2021-05-04,BOS,Away,BAL,W,1,Rodriguez,Harvey,
34,2021-05-05,BOS,Away,BAL,W,1,Richards,Lowther,
35,2021-05-06,BOS,Away,BAL,W,1,Pivetta,Kremer,Barnes
36,2021-05-07,BOS,Away,BAL,L,1,Scott,Andriese,Valdez
37,2021-05-08,BOS,Home,OAK,L,1,Bassitt,Hernandez,Diekman
38,2021-05-09,BOS,Home,OAK,L,1,Kaprielian,Rodriguez,Diekman
39,2021-05-10,BOS,Home,OAK,W,1,Richards,Manaea,Whitlock
40,2021-05-11,BOS,Home,LAA,W,1,Andriese,Watson,Barnes
41,2021-05-12,BOS,Home,LAA,W,1,Perez,Bundy,
42,2021-05-13,BOS,Home,LAA,L,1,Iglesias,Barnes,Mayers
43,2021-05-14,BOS,Away,TOR,L,1,Ryu,Rodriguez,
44,2021-05-15,BOS,Away,TOR,W,1,Richards,Stripling,
45,2021-05-16,BOS,Away,TOR,W,1,Valdez,Dolis,Barnes
46,2021-05-17,BOS,Away,PHI,W,1,Perez,Nola,
47,2021-05-18,BOS,Away,PHI,W,1,Eovaldi,Howard,Barnes
48,2021-05-19,BOS,Away,PHI,L,1,Wheeler,Rodriguez,
49,2021-05-20,BOS,Home,ATL,L,2,Morton,Richards,Smith
50,2021-05-21,BOS,Home,ATL,W,2,Pivetta,Smyly,
51,2021-05-22,BOS,Home,MIA,W,2,Perez,Poteet,Ottavino
52,2021-05-23,BOS,Home,MIA,W,2,Eovaldi,Rogers,Barnes
53,2021-05-24,BOS,Away,HOU,L,2,Urquidy,Rodriguez,
54,2021-05-25,BOS,Away,HOU,L,2,Garcia,Richards,
55,2021-05-26,BOS,Away,HOU,L,2,Valdez,Pivetta,Pressly
56,2021-05-27,BOS,Away,HOU,W,2,Perez,Odorizzi,
57,2021-05-28,BOS,Away,NYY,W,2,Eovaldi,King,Barnes
58,2021-05-29,BOS,Away,NYY,W,2,Whitlock,Green,Barnes
59,2021-05-30,BOS,Away,NYY,W,2,Barnes,Cessa,Valdez
60,2021-05-31,BOS,Home,MIA,W,2,Sawamura,Thompson,Ottavino
61,2021-06-01,BOS,Home,HOU,L,2,Valdez,Perez,
62,2021-06-02,BOS,Home,HOU,L,2,Odorizzi,Eovaldi,Javier
63,2021-06-03,BOS,Home,HOU,W,2,Hernandez,Taylor,
64,2021-06-04,BOS,Home,TOR,W-wo,2,Whitlock,Dolis,
65,2021-06-05,BOS,Home,TOR,L,2,Matz,Pivetta,
66,2021-06-06,BOS,Home,TOR,L,2,Ray,Perez,
67,2021-06-07,BOS,Home,TOR,W-wo,2,Barnes,Dolis,
68,2021-06-08,BOS,Away,ATL,W,2,Sawamura,Martin,Barnes
69,2021-06-09,BOS,Away,ATL,W,2,Rios,Greene,Ottavino
70,2021-06-10,BOS,Away,KCR,L,2,Bubic,Pivetta,Holland
71,2021-06-11,BOS,Away,KCR,W,1,Perez,Keller,
72,2021-06-12,BOS,Away,KCR,L,1,Minor,Eovaldi,
73,2021-06-13,BOS,Away,TBR,W,1,Hernandez,Fairbanks,
74,2021-06-14,BOS,Away,TBR,L,1,Hill,Richards,
75,2021-06-15,BOS,Away,TBR,L-wo,2,Feyereisen,Barnes,
76,2021-06-16,BOS,Home,NYY,W,2,Whitlock,German,Barnes
77,2021-06-17,BOS,Home,NYY,W,2,Eovaldi,Montgomery,Ottavino
78,2021-06-18,BOS,Home,NYY,W,1,Rodriguez,Cole,
79,2021-06-19,BOS,Home,KCR,W,1,Sawamura,Staumont,Barnes
